Precinct,1ST CHOICE COUNCIL MEMBER WARD TWELVE WARD 12,2ND CHOICE COUNCIL MEMBER WARD TWELVE WARD 12,3RD CHOICE COUNCIL MEMBER WARD TWELVE WARD 12,COUNT
MINNEAPOLIS W-12 P-01,ANDREW JOHNSON,BEN GISSELMAN,CHARLIE CASSERLY,1
MINNEAPOLIS W-12 P-03,ANDREW JOHNSON,undervote,undervote,1
MINNEAPOLIS W-12 P-03,ANDREW JOHNSON,"""DICK"" FRANSON",BEN GISSELMAN,1
MINNEAPOLIS W-12 P-08,CHRIS LAUTENSCHLAGER,"""DICK"" FRANSON",ANDREW JOHNSON,1
MINNEAPOLIS W-12 P-01,BEN GISSELMAN,ANDREW JOHNSON,undervote,1
MINNEAPOLIS W-12 P-06,BEN GISSELMAN,CHARLIE CASSERLY,"""DICK"" FRANSON",1
MINNEAPOLIS W-12 P-03,CHARLIE CASSERLY,CHARLIE CASSERLY,CHARLIE CASSERLY,1
MINNEAPOLIS W-12 P-09,ANDREW JOHNSON,undervote,undervote,1
MINNEAPOLIS W-12 P-03,ANDREW JOHNSON,undervote,undervote,1
MINNEAPOLIS W-12 P-08,BEN GISSELMAN,undervote,undervote,1
MINNEAPOLIS W-12 P-02,ANDREW JOHNSON,BEN GISSELMAN,undervote,1
MINNEAPOLIS W-12 P-09,BEN GISSELMAN,CHARLIE CASSERLY,CHRIS LAUTENSCHLAGER,1
MINNEAPOLIS W-12 P-06,ANDREW JOHNSON,BEN GISSELMAN,undervote,1
MINNEAPOLIS W-12 P-09,ANDREW JOHNSON,undervote,undervote,1
MINNEAPOLIS W-12 P-02,BEN GISSELMAN,ANDREW JOHNSON,CHRIS LAUTENSCHLAGER,1
MINNEAPOLIS W-12 P-04,ANDREW JOHNSON,undervote,undervote,1
MINNEAPOLIS W-12 P-04,ANDREW JOHNSON,BEN GISSELMAN,undervote,1
MINNEAPOLIS W-12 P-01,ANDREW JOHNSON,BEN GISSELMAN,"""DICK"" FRANSON",1
MINNEAPOLIS W-12 P-01,ANDREW JOHNSON,CHRIS LAUTENSCHLAGER,CHARLIE CASSERLY,1
MINNEAPOLIS W-12 P-08,CHRIS LAUTENSCHLAGER,ANDREW JOHNSON,BEN GISSELMAN,1
MINNEAPOLIS W-12 P-01,ANDREW JOHNSON,undervote,undervote,1
MINNEAPOLIS W-12 P-06,ANDREW JOHNSON,BEN GISSELMAN,"""DICK"" FRANSON",1
MINNEAPOLIS W-12 P-01,BEN GISSELMAN,ANDREW JOHNSON,CHRIS LAUTENSCHLAGER,1
MINNEAPOLIS W-12 P-01,ANDREW JOHNSON,CHARLIE CASSERLY,BEN GISSELMAN,1
MINNEAPOLIS W-12 P-09,ANDREW JOHNSON,undervote,undervote,1
MINNEAPOLIS W-12 P-04,CHRIS LAUTENSCHLAGER,CHARLIE CASSERLY,undervote,1
MINNEAPOLIS W-12 P-05,CHARLIE CASSERLY,undervote,undervote,1
