Precinct,1ST CHOICE COUNCIL MEMBER WARD SIX WARD 6,2ND CHOICE COUNCIL MEMBER WARD SIX WARD 6,3RD CHOICE COUNCIL MEMBER WARD SIX WARD 6,COUNT
MINNEAPOLIS W-6 P-01,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ROBERT LILLIGREN,ABDI WARSAME,MAHAMED A CALI,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,ABDI ADDOW,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,ROBERT LILLIGREN,ABDI ADDOW,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,MAHAMED A CALI,ROBERT LILLIGREN,1
MINNEAPOLIS W-6 P-09,ABDI WARSAME,ROBERT LILLIGREN,ABDI ADDOW,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-07,ROBERT LILLIGREN,SHEIKH ABDUL,ABDI WARSAME,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ABDI WARSAME,MAHAMED A CALI,SHEIKH ABDUL,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,SHEIKH ABDUL,ABDI ADDOW,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-05,ROBERT LILLIGREN,ROBERT LILLIGREN,ROBERT LILLIGREN,1
