Precinct,1ST CHOICE COUNCIL MEMBER WARD SEVEN WARD 7,2ND CHOICE COUNCIL MEMBER WARD SEVEN WARD 7,3RD CHOICE COUNCIL MEMBER WARD SEVEN WARD 7,COUNT
MINNEAPOLIS W-7 P-04D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-10,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-03,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-03,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-08,overvote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-05,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-08,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-03,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,LISA GOODMAN,LISA GOODMAN,LISA GOODMAN,1
MINNEAPOLIS W-7 P-07,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-08,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,UWI,UWI,UWI,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-10,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-05,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-07,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-08,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-06,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-03,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-07,LISA GOODMAN,LISA GOODMAN,LISA GOODMAN,1
MINNEAPOLIS W-7 P-08,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,LISA GOODMAN,LISA GOODMAN,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-05,UWI,UWI,undervote,1
MINNEAPOLIS W-7 P-04D,UWI,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-03,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-07,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-08,LISA GOODMAN,UWI,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-05,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-07,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-07,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-03,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-07,LISA GOODMAN,LISA GOODMAN,LISA GOODMAN,1
MINNEAPOLIS W-7 P-09,LISA GOODMAN,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,undervote,undervote,undervote,1
